village_id,TRI,TRI_c,TRI_percentile_DIY,PAI,PAI_percentile_DIY
3403150009,1.8239160391509928,-0.8377361608198486,45.77,-0.327140522,36.61
3403140005,2.971951220620085,0.3102990206492437,69.11,-0.830241064,19.22
3403140002,2.721939975,0.0602877750291588,65.9,-0.599891558,27.0
3403140004,4.826249568928356,2.1645973689575144,86.96,-1.231672849,12.36
3403140003,3.6037279907131534,0.942075790742312,73.91,-1.452098108,8.92
3403140006,5.492001293,2.830349093029159,94.28,-0.024108209,51.26
3403140001,2.0892171950985543,-0.572435004872287,56.98,-1.294996591,9.84
3403120004,6.448885090701917,3.787232890731076,97.25,-1.571417345,7.78
3403120005,6.626896874743589,3.965244674772748,97.71,-0.275163528,40.05
3403120002,5.950778462536491,3.289126262565649,95.65,-0.724160086,23.8
3403120003,7.130071044388188,4.4684188444173465,98.4,-3.676695633,0.0
3403120001,4.259599681816691,1.5979474818458494,80.78,-0.232617701,41.65
3403120006,5.053204469661012,2.391552269690171,89.7,0.033808947,54.23
3403120007,5.134395174145214,2.472742974174373,91.08,-0.612905182,26.77
3403030002,5.134882684459591,2.47323048448875,91.3,-1.819985994,5.49
3403030007,3.1317288173079203,0.4700766173370789,70.25,-0.712418867,24.03
3403030004,3.538771668986461,0.8771194690156197,73.23,-0.829013812,19.45
3403030005,4.228957029267468,1.5673048292966263,80.32,-0.303004637,37.53
3403030001,4.180989271122771,1.5193370711519294,79.63,-1.481380084,8.7
3403030006,3.992691868593788,1.3310396686229469,76.43,-1.144800081,13.96
3403030003,4.578187650880156,1.9165354509093144,83.98,-0.517511703,30.66
3403051001,4.918255867819642,2.256603667848801,88.56,-0.521604199,30.43
3403051002,5.180061056,2.518408856029159,92.45,-1.439119251,9.15
3403051006,5.075298149556242,2.413645949585401,89.93,0.4319531320741298,76.2
3403051003,4.853836121440892,2.192183921470051,87.64,-0.982660008,17.16
3403051005,4.655136444134378,1.9934842441635363,84.67,-0.280553738,39.82
3403051007,6.166066529084779,3.504414329113938,96.57,-1.712026112,6.18
3403051008,5.648374041403512,2.986721841432671,94.97,-2.618420956,2.29
3403051004,5.585442390996316,2.9237901910254744,94.51,-3.375904469,0.46
3403041001,4.714777855808581,2.05312565583774,85.58,-0.179818733,43.48
3403041003,4.3751142491089565,1.7134620491381152,82.61,-0.047757565,50.11
3403041005,3.3448589814732856,0.6832067815024443,71.4,-0.555150964,28.83
3403041002,4.104215623636477,1.4425634236656353,78.03,-0.441484969,32.49
3403041004,4.241362647906151,1.5797104479353092,80.55,-0.438714258,32.95
3403011002,4.343320082,1.6816678820291586,81.69,-0.360632468,34.55
3403011003,5.209983902138329,2.5483317021674874,92.68,-2.821652103,1.83
3403011005,4.0390625432847065,1.3774103433138651,77.35,-0.250008603,40.5
3403011001,5.140851349323352,2.4791991493525107,91.53,-0.220488972,42.11
3403011004,4.286310026951269,1.6246578269804277,81.01,-2.430128238,2.52
3471140004,1.2954165972319671,-1.3662356027388742,6.86,1.4234522956090263,88.79
3471140001,1.4143588813427477,-1.2472933186280937,18.54,2.116882303008326,93.59
3471140003,1.2550759544984542,-1.4065762454723871,5.26,1.099354746864179,84.44
3471140002,1.419767014252092,-1.2418851857187494,19.22,0.0575859706503775,55.84
3471130001,1.4128495109241257,-1.2488026890467157,18.31,3.9152431202546256,99.54
3471130003,1.7876376376376375,-0.8740145623332038,43.25,2.299552914457588,94.97
3471130002,1.8792638945997808,-0.7823883053710605,49.43,3.8910316341712337,99.31
3471060005,1.8788705869419549,-0.7827816130288865,49.2,3.444652697702948,98.4
3471060003,1.3876074472207536,-1.2740447527500878,16.25,2.251896197827311,94.51
3471060004,1.7599325602423006,-0.9017196397285407,41.19,5.394536371836145,100.0
3471060001,1.1841821714100509,-1.4774700285607905,2.52,2.876715390159552,97.03
3471060002,1.341427171,-1.3202250289708413,10.98,2.509772731709477,96.11
3471070001,2.0361857921842943,-0.625466407786547,56.06,5.068251799858965,99.77
3471070002,1.767723444278742,-0.8939287556920994,42.11,2.103180578,93.36
3471070003,1.0708168498809691,-1.5908353500898722,0.92,2.680467907743529,96.57
3471120001,1.5498087701191472,-1.1118434298516942,27.69,3.4147455493503696,98.17
3471120002,1.3609743985262783,-1.300677801444563,13.27,3.6544589305732416,98.86
3471100001,1.4292388091216215,-1.23241339084922,19.91,1.6362058938166255,90.16
3471100002,1.2384101876435132,-1.4232420123273282,4.58,2.1259482404174905,93.82
3471110002,1.216267743069258,-1.4453844569015837,3.89,1.9038067070033136,91.53
3471110003,1.343634605203195,-1.3180175947676462,11.44,1.3045551376382227,86.96
3471110001,1.055096312289641,-1.6065558876812005,0.46,3.2288587964143227,97.94
3471010002,1.0740880459366904,-1.587564154034151,1.14,1.5683872320444747,89.47
3471010003,1.1039117558877527,-1.5577404440830886,1.6,2.582686594393772,96.34
3471010001,1.196266260549896,-1.4653859394209454,2.97,1.4009553021237244,88.56
3471020002,1.0278450432014552,-1.633807156769386,0.23,0.7887507284679613,81.92
3471020001,1.0658604964114833,-1.595791703559358,0.69,1.7624948301891443,90.62
3471020003,0.980039818,-1.6816123819708415,0.0,2.960054495116178,97.25
3471090001,1.532120689478432,-1.1295315104924093,25.4,3.136635053152175,97.71
3471090002,1.701669821819357,-0.9599823781514842,37.07,3.78854597,99.08
3471080001,1.4212778097790848,-1.2403743901917563,19.45,2.085873859,92.91
3471080002,1.1328270705022554,-1.528825129468586,2.06,2.444876019,95.42
3471030003,1.343579106889592,-1.3180730930812494,11.21,1.436029253455395,89.02
3471030002,1.110803701204319,-1.5508484987665223,1.83,2.090027568972343,93.14
3471030001,1.3550307122328795,-1.3066214877379618,12.36,2.425417092778764,95.19
3471040003,1.3113518310858563,-1.350300368884985,7.55,2.973243139828921,97.48
3471040005,1.0845508464800493,-1.577101353490792,1.37,1.7722630933327477,90.85
3471040007,1.3575511780766836,-1.3041010218941578,12.81,3.568916503,98.63
3471040006,1.5579746744169127,-1.1036775255539286,28.6,2.260067579851004,94.74
3471040004,1.2398451845586236,-1.4218070154122178,4.81,1.9292105136052635,91.99
3471040002,1.269680361784881,-1.3919718381859605,5.72,1.910205961323114,91.76
3471040001,1.248108686557499,-1.4135435134133425,5.03,2.71607072582856,96.8
3471050001,1.3537530544527132,-1.307899145518128,12.13,1.874613036404944,91.08
3471050002,1.145249322841574,-1.5164028771292672,2.29,1.5878080056555883,89.7
3471050003,1.5390896542965615,-1.1225625456742798,26.54,1.369613043189728,87.64
3401010003,1.3794891953332962,-1.2821630046375452,15.1,-0.122888464,46.22
3401010010,3.079915187554384,0.4182629875835428,69.79,-0.051600215,49.66
3401010012,1.671076227011988,-0.9905759729588532,35.47,0.4503801775682611,77.57
3401010015,1.5684593685607862,-1.0931928314100552,29.29,-0.77667724,22.65
3401010013,1.814737743793484,-0.8469144561773574,45.08,0.2140768304042978,65.9
3401010011,3.4095990160862097,0.7479468161153684,71.62,0.0432057038101459,55.15
3401010007,1.9108451704545453,-0.7508070295162961,50.8,0.4450823719100371,77.35
3401010006,1.9375039572642985,-0.7241482427065429,51.95,-1.258012217,10.98
3401010009,3.047738057353256,0.3860858573824148,69.57,-0.406952755,33.87
3401010002,1.5741184397436463,-1.087533760227195,29.75,-0.020173232,51.49
3401010005,1.5638298527479746,-1.0978223472228668,29.06,0.4742592820892652,78.03
