village_id,channel,gap,gap_terrain,gap_residual,dominance_margin,ci_lo_terrain,ci_hi_terrain,ci_lo_residual,ci_hi_residual,ci_lo_dominance,ci_hi_dominance,pr_terrain_abs_dominates,pr_residual_abs_dominates,pr_terrain_positive,pr_residual_positive,constraint_class,constraint_class_short,constraint_reason,constraint_class_idn
3404130005,FFAS,3.0096882415651165,-0.3121917405812175,3.321879982146334,-3.0096882415651165,-0.5249220043334577,-0.1172872712904887,3.1269755128556054,3.534610245898574,-3.0096882415651165,-3.009688241565116,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140001,DIS,0.5755684278469858,-0.3069772798776582,0.8825457077246441,-0.5755684278469859,-0.421054694560963,-0.2044839499963821,0.780052377843368,0.9966231224079488,-0.5755684278469859,-0.5755684278469857,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140001,FFAS,3.0096882415651165,-0.2467250676372851,3.2564133092024017,-3.0096882415651165,-0.4148457508272191,-0.0926921061020517,3.102380347667168,3.424533992392336,-3.009688241565117,-3.009688241565116,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140002,DIS,1.0803459205758037,-0.442562018079623,1.5229079386554265,-1.0803459205758037,-0.6070247785799117,-0.2947997637198359,1.375145684295639,1.687370699155715,-1.0803459205758037,-1.0803459205758037,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140002,FFAS,2.3983759933673285,-0.3556978024168599,2.7540737957841883,-2.3983759933673285,-0.5980734885364152,-0.1336320575676588,2.532008050934987,2.996449481903744,-2.3983759933673285,-2.3983759933673285,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140003,DIS,0.5755684278469858,-0.33187121139468,0.907439639241666,-0.5755684278469859,-0.4551995887221806,-0.2210663154716666,0.7966347433186525,1.0307680165691664,-0.5755684278469859,-0.5755684278469857,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140003,FFAS,1.1586908412455852,-0.2667329227454642,1.4254237639910494,-1.1586908412455852,-0.4484871386046338,-0.1002088543851579,1.258899695630743,1.607177979850219,-1.1586908412455852,-1.1586908412455852,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140004,DIS,0.8279571742113946,-0.3900387835011584,1.217995957712553,-0.8279571742113946,-0.5349831131458999,-0.2598129448990053,1.0877701191104,1.3629402873572942,-0.8279571742113947,-0.8279571742113945,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140004,FFAS,2.323817968363735,-0.3134836079036202,2.637301576267355,-2.323817968363735,-0.5270941616844049,-0.1177726127438912,2.441590581107626,2.85091213004814,-2.323817968363735,-2.323817968363735,0.0,1.0,0.003,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
3404140005,DIS,1.0803459205758037,-0.3808032489685122,1.4611491695443155,-1.0803459205758037,-0.5223155138587463,-0.2536609632855253,1.3340068838613288,1.6026614344345496,-1.0803459205758037,-1.0803459205758037,0.0,1.0,0.0,1.0,Residual-constrained,Residual,Positive residual component dominates with bootstrap support,Dominan Residual / Non-Terrain
