village_id,component,z_value
3401030008,kelompok_pertokoan,-0.8182350273038316
3401030008,minimarket,-0.957272705095825
3401030008,pasar_permanen,-0.7314875991867019
3401030008,pasar_semi_permanen,1.021321461378604
3401030008,restoran,-0.4864043268051572
3401030008,sentra_industri,-0.7105928641998783
3401030008,toko_kelontong,-0.8424812625927368
3401030008,warung_makan,-0.7458545036217262
3401030009,industri_mikro,-0.920549349945968
3401030009,kelompok_pertokoan,-0.8182350273038316
3401030009,minimarket,-0.4081103673984165
3401030009,pasar_permanen,-0.7314875991867019
3401030009,pasar_semi_permanen,1.021321461378604
3401030009,restoran,-0.6550460549304316
3401030009,sentra_industri,-0.7105928641998783
3401030009,toko_kelontong,-0.854490778673984
3401030009,warung_makan,-0.6605449844839197
3401030010,industri_mikro,-0.7094100713273529
3401030010,kelompok_pertokoan,-0.271913469439383
3401030010,minimarket,-0.957272705095825
3401030010,pasar_permanen,-0.7314875991867019
3401030010,pasar_semi_permanen,-0.6354889093022426
3401030010,restoran,-0.4864043268051572
3401030010,sentra_industri,-0.7105928641998783
3401030010,toko_kelontong,-0.7824336821865007
3401030010,warung_makan,-0.5752354653461133
3401030011,industri_mikro,-0.307240016815705
3401030011,kelompok_pertokoan,-0.8182350273038316
3401030011,minimarket,-0.1335291985497123
3401030011,pasar_permanen,-0.7314875991867019
3401030011,pasar_semi_permanen,1.021321461378604
3401030011,restoran,-0.4864043268051572
3401030011,sentra_industri,-0.7105928641998783
3401030011,toko_kelontong,-0.5662623927240504
3401030011,warung_makan,-0.558173561518552
3401040001,industri_mikro,-0.719464322690144
3401040001,kelompok_pertokoan,-0.8182350273038316
3401040001,minimarket,-0.6826915362471208
3401040001,pasar_permanen,-0.7314875991867019
3401040001,pasar_semi_permanen,-0.6354889093022426
3401040001,restoran,-0.4864043268051572
3401040001,sentra_industri,-0.7105928641998783
3401040001,toko_kelontong,-0.4581767479928253
3401040001,warung_makan,-0.5411116576909907
3401040002,industri_mikro,-0.4681080386203641
3401040002,kelompok_pertokoan,-0.8182350273038316
3401040002,minimarket,-0.957272705095825
3401040002,pasar_permanen,-0.7314875991867019
3401040002,pasar_semi_permanen,-0.6354889093022426
3401040002,restoran,-0.6550460549304316
3401040002,sentra_industri,-0.7105928641998783
3401040002,toko_kelontong,-0.5542528766428032
3401040002,warung_makan,-0.5752354653461133
3401040003,industri_mikro,-0.970820606759924
3401040003,kelompok_pertokoan,-0.271913469439383
3401040003,minimarket,-0.957272705095825
3401040003,pasar_permanen,-0.7314875991867019
3401040003,pasar_semi_permanen,1.021321461378604
3401040003,restoran,-0.317762598679883
3401040003,sentra_industri,-0.7105928641998783
3401040003,toko_kelontong,-0.5542528766428032
3401040003,warung_makan,-0.6093592730012358
3401040004,industri_mikro,-0.970820606759924
3401040004,kelompok_pertokoan,-0.8182350273038316
3401040004,minimarket,-0.957272705095825
3401040004,pasar_permanen,-0.7314875991867019
3401040004,pasar_semi_permanen,-0.6354889093022426
3401040004,restoran,-0.6550460549304316
3401040004,sentra_industri,-0.7105928641998783
3401040004,toko_kelontong,-0.7343956178615118
3401040004,warung_makan,-0.79704021510441
3401040005,industri_mikro,-0.4479995358947817
3401040005,kelompok_pertokoan,-0.271913469439383
3401040005,minimarket,1.239376645693809
3401040005,pasar_permanen,-0.7314875991867019
3401040005,pasar_semi_permanen,1.021321461378604
3401040005,restoran,0.0195208575706656
3401040005,sentra_industri,-0.7105928641998783
3401040005,toko_kelontong,-0.3500911032616002
3401040005,warung_makan,-0.4387402347256229
3401040006,industri_mikro,-1.02109186357388
3401040006,kelompok_pertokoan,-0.271913469439383
3401040006,minimarket,0.1410519702989919
3401040006,pasar_permanen,-0.7314875991867019
3401040006,pasar_semi_permanen,1.021321461378604
3401040006,restoran,-0.4864043268051572
3401040006,sentra_industri,-0.7105928641998783
3401040006,toko_kelontong,-0.854490778673984
3401040006,warung_makan,-0.6264211768287972
3401040007,industri_mikro,-0.7496270767785177
3401040007,kelompok_pertokoan,-0.271913469439383
3401040007,minimarket,-0.957272705095825
3401040007,pasar_permanen,-0.7314875991867019
3401040007,pasar_semi_permanen,-0.6354889093022426
3401040007,restoran,-0.6550460549304316
3401040007,sentra_industri,-0.7105928641998783
3401040007,toko_kelontong,-0.6863575535365227
3401040007,warung_makan,-0.26812119645001
3401050001,industri_mikro,-0.6189218090622322
3401050001,kelompok_pertokoan,-0.8182350273038316
3401050001,minimarket,-0.4081103673984165
3401050001,pasar_permanen,-0.7314875991867019
3401050001,pasar_semi_permanen,-0.6354889093022426
3401050001,restoran,-0.6550460549304316
3401050001,sentra_industri,-0.7105928641998783
3401050001,toko_kelontong,-0.7944431982677479
3401050001,warung_makan,-0.6605449844839197
3401050002,industri_mikro,-0.3374027709040786
3401050002,kelompok_pertokoan,-0.271913469439383
3401050002,minimarket,-0.4081103673984165
3401050002,pasar_permanen,-0.7314875991867019
3401050002,pasar_semi_permanen,2.6781318320594507
3401050002,restoran,-0.6550460549304316
3401050002,sentra_industri,0.309865085044537
3401050002,toko_kelontong,-0.0498532012304193
3401050002,warung_makan,0.0389930724460932
3401050003,industri_mikro,-0.5384877981599026
3401050003,kelompok_pertokoan,-0.8182350273038316
3401050003,minimarket,-0.4081103673984165
3401050003,pasar_permanen,-0.7314875991867019
3401050003,pasar_semi_permanen,-0.6354889093022426
3401050003,restoran,-0.4864043268051572
3401050003,sentra_industri,-0.7105928641998783
3401050003,toko_kelontong,-0.3380815871803529
3401050003,warung_makan,-0.3534307155878165
3401050004,industri_mikro,1.1204636767006448
3401050004,kelompok_pertokoan,-0.8182350273038316
3401050004,minimarket,-0.957272705095825
3401050004,pasar_permanen,-0.7314875991867019
3401050004,pasar_semi_permanen,-0.6354889093022426
3401050004,restoran,-0.4864043268051572
3401050004,sentra_industri,-0.7105928641998783
3401050004,toko_kelontong,-0.4461672319115781
3401050004,warung_makan,-0.4899259462083068
3401050005,industri_mikro,-0.156426246373837
3401050005,kelompok_pertokoan,-0.8182350273038316
3401050005,minimarket,-0.6826915362471208
3401050005,pasar_permanen,-0.7314875991867019
3401050005,pasar_semi_permanen,-0.6354889093022426
3401050005,restoran,-0.6550460549304316
3401050005,sentra_industri,0.309865085044537
3401050005,toko_kelontong,-0.650329005292781
3401050005,warung_makan,-0.4558021385531842
3401050006,industri_mikro,0.3764490758540963
3401050006,kelompok_pertokoan,-0.8182350273038316
3401050006,minimarket,-0.1335291985497123
3401050006,pasar_permanen,-0.7314875991867019
3401050006,pasar_semi_permanen,1.021321461378604
3401050006,restoran,-0.6550460549304316
3401050006,sentra_industri,0.309865085044537
3401050006,toko_kelontong,-0.3500911032616002
3401050006,warung_makan,-0.1828116773122035
3401060001,industri_mikro,-0.6792473172389792
3401060001,kelompok_pertokoan,-0.8182350273038316
3401060001,minimarket,-0.1335291985497123
3401060001,pasar_permanen,-0.7314875991867019
3401060001,pasar_semi_permanen,-0.6354889093022426
3401060001,restoran,-0.6550460549304316
3401060001,sentra_industri,-0.7105928641998783
3401060001,toko_kelontong,-0.9986049716489508
3401060001,warung_makan,-0.6264211768287972
3401060002,industri_mikro,-0.7998983335924736
3401060002,kelompok_pertokoan,-0.8182350273038316
3401060002,minimarket,-0.1335291985497123
3401060002,pasar_permanen,-0.7314875991867019
3401060002,pasar_semi_permanen,2.6781318320594507
3401060002,restoran,-0.6550460549304316
3401060002,sentra_industri,-0.7105928641998783
3401060002,toko_kelontong,-0.8905193269177257
3401060002,warung_makan,-0.5411116576909907
3401060003,industri_mikro,0.7384021249145795
3401060003,kelompok_pertokoan,-0.8182350273038316
